FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,subcluster,v1,v2
교육,교육부,산학연 협력 활성화,전문대학 혁신 지원,0,10.046311,10.594476
교육,교육부,학술연구 역량 강화,인문사회학술연구 조성,0,9.832679,11.699962
교통및물류,국토교통부,고속철도건설,고속철도건설,1,9.344812,6.9411163
교통및물류,국토교통부,국토교통연구개발,국토교통기술역량강화(R&D),0,9.167333,11.783598
교통및물류,국토교통부,국토교통정보화,건설사업정보화(정보화),0,7.904305,10.303241
교통및물류,국토교통부,국토교통정보화,철도정보화(정보화),0,8.09151,9.4478855
교통및물류,국토교통부,일반철도건설,일반철도건설,1,9.33467,6.7872543
교통및물류,국토교통부,자동차및교통정책,교통사고예방및피해자보호,0,8.151591,10.823997
교통및물류,국토교통부,자동차및교통정책,자동차안전도강화,0,8.724602,11.952917
교통및물류,국토교통부,철도안전및운영,철도안전(일반),1,9.337873,6.643118
국방,국방부,정책기획 및 국제협력,한국국방연구원 운영,-1,9.348551,8.294593
국방,방위사업청,방위사업정책지원,국방과학연구소,1,8.79718,6.7254715
국방,방위사업청,방위사업정책지원,국방기술개발,1,8.893867,6.86753
국방,방위사업청,방위사업정책지원,국방기술품질원,1,8.638607,6.704494
국방,방위사업청,방위사업정책지원,방위산업육성지원,1,8.586862,7.7090316
국방,방위사업청,유도무기사업,유도무기 연구개발,1,8.450974,8.358402
국방,방위사업청,지휘정찰사업,지휘정찰 연구개발,1,8.366795,8.521195
국방,방위사업청,함정사업,함정 연구개발,1,8.530863,8.112001
국토및지역개발,행정중심복합도시건설청,행정중심복합도시건설 운영,행정중심복합도시건설청 운영,1,7.95317,8.2395115
농림수산,농림축산식품부,농산물수급안정및유통효율화,농산물가격안정및수급조절(농특),1,8.600849,8.026151
농림수산,농림축산식품부,농업신산업육성,농식품기술개발(농특),0,10.028407,11.266235
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농업신성장동력연구,1,7.349395,9.123058
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농업정책지원및기반육성,1,7.652897,8.711915
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농자재관리 및 평가,0,8.480189,11.408943
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,지속가능한농업연구,1,7.399119,9.11813
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,차세대바이오그린21,1,7.3265395,9.162098
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,"현장실용화농업기술(농특,구조)",1,7.2459097,9.255437
문화및관광,과학기술정보통신부,정보통신방송기반조성,전파방송산업 활성화,-1,7.829544,5.554012
