fld,arch_grp,outcome,n_year,amp_mean,corr_levels,corr_diff,fld_arch
산업·중소기업및에너지,chooyeon_sub0,industry_production_index,10,0.8723890870994644,0.6449304040743054,0.3094442786423875,산업·중소기업및에너지 / chooyeon_sub0
산업·중소기업및에너지,chooyeon_sub1,industry_production_index,10,0.5307392989721794,0.47938790043484014,0.5765687642669616,산업·중소기업및에너지 / chooyeon_sub1
산업·중소기업및에너지,direct_invest,industry_production_index,10,0.560867729635571,-0.16464085743899082,-0.06007761125708933,산업·중소기업및에너지 / direct_invest
산업·중소기업및에너지,normal,industry_production_index,10,0.35313662304804444,0.7962345456300359,0.7844995613653135,산업·중소기업및에너지 / normal
산업·중소기업및에너지,personnel,industry_production_index,10,0.05651948245653462,-0.1688611067673468,0.11913602936809566,산업·중소기업및에너지 / personnel
일반·지방행정,chooyeon_sub0,local_tax_per_capita,6,0.9014430143477646,0.35950442819297046,0.20181778897759595,일반·지방행정 / chooyeon_sub0
일반·지방행정,chooyeon_sub1,local_tax_per_capita,6,0.5482624316303285,0.3430051736583956,0.7327896526857464,일반·지방행정 / chooyeon_sub1
일반·지방행정,direct_invest,local_tax_per_capita,6,0.5290952338778017,0.24343593257192642,-0.3393982517361576,일반·지방행정 / direct_invest
일반·지방행정,normal,local_tax_per_capita,6,0.4021200407636104,-0.08661150636578445,-0.7024229447287623,일반·지방행정 / normal
일반·지방행정,personnel,local_tax_per_capita,6,0.07340399950056653,0.24407888338887088,0.39261263842771915,일반·지방행정 / personnel
통신,chooyeon_sub0,ict_value_added,6,0.8624141699718589,0.7619119459356656,0.790888496337412,통신 / chooyeon_sub0
통신,chooyeon_sub1,ict_value_added,8,0.6696070801117582,-0.29605818992068533,-0.17693277416174014,통신 / chooyeon_sub1
통신,direct_invest,ict_value_added,6,0.43503287623262543,0.5976803256840447,0.3901630848750962,통신 / direct_invest
통신,normal,ict_value_added,10,0.35026131136088584,-0.10547233402314393,-0.41649495784248064,통신 / normal
통신,personnel,ict_value_added,10,0.1926942602631944,-0.32871315550994307,-0.47780623598710376,통신 / personnel
환경,chooyeon_sub0,ghg_total,5,1.4173015167940382,0.8495201841192564,0.8233856525046132,환경 / chooyeon_sub0
환경,direct_invest,ghg_total,9,0.4686427197110339,0.5028996531731611,0.6174223984587205,환경 / direct_invest
환경,normal,ghg_total,9,0.48730776656849545,-0.45325767764647595,0.17904896871978374,환경 / normal
환경,personnel,ghg_total,9,0.06984216561167708,-0.3263866182427799,-0.3859607428419636,환경 / personnel
