FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,sub,peak_month,q1_share,h2_share,dec_share,amp12,amp6,phase12,dec_nov_ratio,n_year
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농업신성장동력연구,0.07479643117375909,0.07416571700885799,0.22321463236935438,0.13613955327284835,0.07307002760396421,0.16374251282189073,0.06495637993762127,0.04281692580867196,0.034689553031022176,0.023918411175911952,0.02962834894492468,0.058861506851173286,0,3,0.37217678055197145,0.25487112574932536,0.058861506851173286,0.06361392640159201,0.008808785454922976,-1.521780655110905,1.6893191142261,8
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농업정책지원및기반육성,0.20973906766251385,0.08563496052306628,0.160522582189342,0.10103971733634359,0.06368291757964546,0.09558517763056933,0.035590717675933616,0.03707470687161365,0.047915338317844725,0.030483461787447305,0.04998586928292196,0.08274548314275827,0,1,0.45589661037492213,0.28379557707851955,0.08274548314275827,0.05506525066176757,0.01811600830128271,-0.6913054962430472,2.143104014797113,6
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,농자재관리 및 평가,0.015343320709943918,0.012808299299295058,0.20470900364194913,0.24603343003628614,0.12196473385311274,0.1189912436998485,0.07649349836281982,0.05006080091450771,0.059099820052675646,0.02458563665474681,0.014206517157772807,0.05570369561704176,0,4,0.23286062365118812,0.28014996875956455,0.05570369561704176,0.07865738377145058,0.04339177027413462,-1.848306848087332,2.8232968791651003,11
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,지속가능한농업연구,0.004111853553389774,0.05478380388484563,0.32488268433984174,0.07667074657605995,0.07095393809418349,0.209331735242977,0.04068172160553763,0.05415297078960523,0.06240296888337062,0.011586097753870858,0.03938219765748693,0.05105928161883113,0,3,0.3837783417780771,0.2592652383087024,0.05105928161883113,0.06722197793938503,0.025490612566424115,-1.714190716032306,1.235646898321904,6
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,차세대바이오그린21,0.0011507633539068773,0.15234017683482545,0.2594347302570165,0.08240587247310675,0.07559753142180961,0.15771487429561512,0.08826535521178329,0.04267652633935503,0.03694433394035502,0.02153774169943201,0.03273709976317541,0.049194994409618935,1,3,0.41292567044574885,0.27135605136371965,0.049194994409618935,0.0666295820675278,0.025563337377682013,-1.5615637477184294,1.5056352733751555,11
농림수산,농촌진흥청,농업기초기반 및 실용화 기술개발,"현장실용화농업기술(농특,구조)",0.1393061947167489,0.05156232557669763,0.14939743703063796,0.16407910168089235,0.10137584812712169,0.12571745817519864,0.10866601844540046,0.03560568596364416,0.02784561929470954,0.018562676273128586,0.03548362489851075,0.042398009817309346,0,4,0.3402659573240845,0.2685616346927029,0.042398009817309346,0.059580965842091244,0.008373872478926249,-1.5704268858645465,1.328027743077118,9
문화및관광,과학기술정보통신부,정보통신방송기반조성,전파방송산업 활성화,0.05830471689446613,0.11710072357632084,0.13268315045145512,0.15813693401135465,0.06992082176160713,0.11547278990609075,0.04340970919697814,0.027692981273978946,0.08901312881706167,0.08095417923087245,0.041775906353069714,0.06553495852674444,0,4,0.3080885909222421,0.3483808633987054,0.06553495852674444,0.036106423062316935,0.02582682202575232,-1.3053186455485237,0.8404533565823888,9
문화및관광,과학기술정보통신부,콘텐츠방송산업육성,콘텐츠 진흥,0.0055844474643551535,0.19927362302182527,0.09091192171036204,0.27867246387174693,0.04296683481934465,0.04060611990080724,0.12106709797233267,0.07810376653760198,0.016296795395407144,0.06861956270660229,0.013002448472256102,0.044894918127358484,0,4,0.2957699921965425,0.34198458921155866,0.044894918127358484,0.059899340685851836,0.04045548051976428,-1.527674248849723,15.105419179316199,9
문화및관광,문화체육관광부,건강한 저작권 생태계 조성,저작물 이용 및 유통환경 조성,0.12235004166850824,0.18633622380672854,0.13964199260731966,0.1688927845362138,0.11651383260723862,0.037950909362418093,0.12019408340740041,0.06653472414072445,0.013186206330907297,0.01666921210640545,0.01019477984617814,0.0015352095799572919,1,2,0.4483282580825565,0.22831421541157307,0.0015352095799572919,0.07334956285025529,0.03614797978190072,-1.377735933679158,0.0,10
보건,보건복지부,보건산업육성,보건의료연구개발,0.37231274040185647,0.12830146469783704,0.03900552782288205,0.11454127674042,0.053229764863052864,0.04041723957669707,0.03735290854010293,0.07080261368163342,0.026953884299529718,0.02171192283196772,0.038337981883486354,0.05703267466053434,0,1,0.5396197329225756,0.2521919858972545,0.05703267466053434,0.07008838258544657,0.05819874375294201,-0.3308417755120918,1.2066347650259168,11
보건,보건복지부,보건의료서비스지원,보건의료기술 평가연구,0.13003446461368476,0.09802122363784822,0.09367063432196657,0.12715775745025198,0.09520889825101712,0.09468649562052607,0.0926466711472356,0.05263826451773808,0.04050362412373694,0.0718593515948817,0.060824656143607804,0.0427479585775052,0,1,0.32172632257349953,0.36122052610470534,0.0427479585775052,0.030736554047275655,0.003968604025992775,-1.3460368711251123,0.9657435295807304,7
보건,식품의약품안전처,의약품안전성제고,의약품 안전기반 구축,0.32316695079838226,0.06150737942727378,0.09533105797226377,0.07627564933337629,0.04156428462953833,0.12472142121498521,0.06234078366748526,0.03397339334454443,0.06625417649006284,0.0753628444222637,0.03756027174099034,0.0019417869588338264,0,1,0.4800053881979198,0.27743325662418045,0.0019417869588338264,0.03628596585406455,0.038155790241780695,-0.5017803667254356,0.0,11
사회복지,고용노동부,노사정책,노사협력,0.08443366612827136,0.09214672818264052,0.160352545349277,0.0830357494390117,0.06420593644109449,0.04796642723886558,0.07281049502523552,0.04741078415873818,0.08800635486759675,0.06747589717365357,0.0705623466337718,0.12159306936184353,0,3,0.3369329396601889,0.4678589472208394,0.12159306936184353,0.027361045749446675,0.01307746504729509,-0.3628117837924337,1.8524749145468553,11
